dimension,subgroup,environment,count,percent,subgroup_total
multilingual_learner,lep,residential_facility,0,0,300
multilingual_learner,non_lep,ec_program_10plus_hrs,5325,39.62,13104
multilingual_learner,non_lep,services_other_loc_attended_ec_10plus_hrs,590,4.39,13104
multilingual_learner,non_lep,ec_program_less_10_hrs,530,3.94,13104
multilingual_learner,non_lep,services_other_loc_attended_ec_less_10_hrs,1219,9.07,13104
multilingual_learner,non_lep,separate_class,4993,37.15,13104
multilingual_learner,non_lep,separate_school,,,13104
multilingual_learner,non_lep,residential_facility,,,13104
multilingual_learner,total,ec_program_10plus_hrs,5513,41.02,13404
multilingual_learner,total,services_other_loc_attended_ec_10plus_hrs,603,4.49,13404
multilingual_learner,total,ec_program_less_10_hrs,554,4.12,13404
multilingual_learner,total,services_other_loc_attended_ec_less_10_hrs,1235,9.19,13404
multilingual_learner,total,separate_class,5051,37.58,13404
multilingual_learner,total,separate_school,,,13404
multilingual_learner,total,residential_facility,,,13404
